country_export,country_import,Actual WF (m3)
United States of America,Haiti,4691449.925
United States of America,Haiti,1807025.995
United States of America,Haiti,162632.3396
United States of America,Haiti,639344.7581
United States of America,Haiti,534526.9767
United States of America,India,4654262.746
United States of America,India,4082216.28
United States of America,Indonesia,2174827.053
United States of America,Kenya,519299.8464
United States of America,Kenya,2227235.847
United States of America,Lesotho,1085987.257
United States of America,Liberia,13275632.34
United States of America,Liberia,1396942.723
United States of America,Liberia,547924.3603
United States of America,Malawi,2146714.116
United States of America,Malawi,1892283.079
United States of America,Mali,62375.00468
United States of America,Mali,159474.9597
United States of America,Mali,87849.29816
United States of America,Mozambique,3808767.658
United States of America,Mozambique,1071161.404
United States of America,Nicaragua,347972.3284
United States of America,Nicaragua,318671.8045
United States of America,Nicaragua,130751.9839
United States of America,Nicaragua,4671914.817
United States of America,Niger,11745668.97
United States of America,Niger,2174827.053
United States of America,Niger,1918034.274
United States of America,Peru,6393447.581
United States of America,Philippines,2453150.213
United States of America,Rwanda,117143.4459
United States of America,Rwanda,372777.5567
United States of America,Rwanda,179074.2389
United States of America,Rwanda,95901.71371
United States of America,Rwanda,654386.2994
United States of America,Somalia,110914.4398
United States of America,Somalia,639031.4791
United States of America,Somalia,1241706.167
United States of America,Sri Lanka,221604.3707
United States of America,Sri Lanka,5206609.529
United States of America,Sri Lanka,1098116.227
United States of America,Sudan,129149336.4
United States of America,Sudan,3608233.993
United States of America,Sudan,9490350.474
United States of America,Sudan,1761958.565
United States of America,Sudan,1137653.936
United States of America,Tajikistan,2004108.646
United States of America,Tajikistan,639344.7581
United States of America,Tajikistan,5828943.448
United States of America,Tajikistan,799180.9476
United States of America,Tajikistan,926513.4263
United States of America,Tanzania,127833.7877
United States of America,Tanzania,618204.9038
United States of America,Uganda,1043854.821
United States of America,Uganda,3459601.255
United States of America,Uganda,5773772.264
United States of America,Uganda,1536090.837
United States of America,Zambia,392268.2466
United States of America,Zambia,22250.08736
