year,country_export,country_import,Product,Tonnage,Exporter Footprint (per unit),Importers Footprint (per unit),Actual WF (m3),Water Saved (m3)
2005,United States of America,Ethiopia,VEGETABLE OIL,170.0,3196.723790366448,9211.524549245069,543443.0443622962,1022516.1290093655
2005,United States of America,Guatemala,RICE,130.0,1739.8616421225033,3041.555734545745,226182.01347592543,169220.23201502144
2005,United States of America,Guatemala,SOYA-FORTIFIED BULGUR WHEAT,110.0,1807.0259951642697,,198772.85946806966,
2005,United States of America,Guatemala,CORN-SOYA BLEND,310.0,1119.2139932688615,3077.499483235468,346956.33791334706,607068.5018896479
2005,United States of America,Guatemala,VEGETABLE OIL,100.0,3196.723790366448,,319672.3790366448,
2005,United States of America,Guinea,CORN-SOYA BLEND,99.45,1119.2139932688615,3774.06695142715,111305.83163058828,264025.1266888418
2005,United States of America,Guinea,PEAS,199.6,1105.0226183501086,,220562.51462268166,
2005,United States of America,Haiti,RICE,2696.45,1739.8616421225033,3762.739359500731,4691449.924901224,5454588.621024522
2005,United States of America,Haiti,SOYA-FORTIFIED BULGUR WHEAT,1000.0,1807.0259951642697,,1807025.9951642698,
2005,United States of America,Haiti,WHEAT-SOYA BLEND,90.0,1807.0259951642697,,162632.33956478428,
2005,United States of America,Haiti,VEGETABLE OIL,200.0,3196.723790366448,,639344.7580732896,
2005,United States of America,Haiti,LENTILS,300.0,1781.7565890595265,,534526.976717858,
2005,United States of America,India,BULGUR WHEAT,2373.0,1961.3412331771283,1805.1330836372672,4654262.746329325,-370681.9388580904
2005,United States of America,India,VEGETABLE OIL,1277.0,3196.723790366448,8249.1399248777,4082216.280297954,6451935.403770869
2005,United States of America,Indonesia,RICE,1250.0,1739.8616421225033,2291.2173917604023,2174827.052653129,689194.6870473737
2005,United States of America,Kenya,MAIZE MEAL,1003.0,517.7466065457517,2393.120843576921,519299.8463653889,1881000.3597422629
2005,United States of America,Kenya,CORN-SOYA BLEND,1990.0,1119.2139932688615,2707.2936690752495,2227235.8466050345,3160278.554854712
2005,United States of America,Lesotho,SOYA-FORTIFIED MAIZE MEAL,1000.699,1085.2286818485813,5366.989421384037,1085987.2566971935,4284753.69029239
2005,United States of America,Liberia,BULGUR WHEAT,6768.65,1961.3412331771283,,13275632.337944368,
2005,United States of America,Liberia,VEGETABLE OIL,436.992,3196.723790366448,,1396942.7225998149,
2005,United States of America,Liberia,PEAS,495.849,1105.0226183501086,,547924.360286283,
2005,United States of America,Malawi,MAIZE MEAL,4146.264,517.7466065457517,3321.5695794969647,2146714.1158428146,11625390.255120588
2005,United States of America,Malawi,CORN-SOYA BLEND,1690.725,1119.2139932688615,3757.630676319848,1892283.0787694957,4460837.04645138
2005,United States of America,Mali,MAIZE MEAL,120.474,517.7466065457517,2504.2931938358697,62375.00467699289,239327.2135571897
2005,United States of America,Mali,VEGETABLE OIL,49.887,3196.723790366448,4772.542940114962,159474.959730011,78612.88992350412
2005,United States of America,Mali,PEAS,79.5,1105.0226183501086,,87849.29815883363,
2005,United States of America,Mozambique,RICE,2189.121,1739.8616421225033,8190.923925870123,3808767.657864857,14122155.917659873
2005,United States of America,Mozambique,VEGETABLE OIL,335.081,3196.723790366448,,1071161.4043997799,
2005,United States of America,Nicaragua,RICE,200.0,1739.8616421225033,2044.4368261681268,347972.32842450065,60915.03680912469
2005,United States of America,Nicaragua,VEGETABLE OIL,99.687,3196.723790366448,,318671.8044902601,
2005,United States of America,Nicaragua,BEANS,199.8,654.4143339759094,7557.968521489596,130751.9839283867,1379330.1266652348
2005,United States of America,Nicaragua,WHEAT,2382.0,1961.3412331771283,,4671914.817427919,
2005,United States of America,Niger,SOYA-FORTIFIED BULGUR WHEAT,6500.0,1807.0259951642697,2774.4919312209877,11745668.968567753,6288528.584368667
2005,United States of America,Niger,RICE,1250.0,1739.8616421225033,4388.472158178989,2174827.052653129,3310763.1450706073
2005,United States of America,Niger,VEGETABLE OIL,600.0,3196.723790366448,,1918034.274219869,
2005,United States of America,Peru,SOYA OIL,2000.0,3196.723790366448,,6393447.580732896,
2005,United States of America,Philippines,PEAS,2220.0,1105.0226183501086,,2453150.2127372413,
2005,United States of America,Rwanda,MAIZE,200.0,585.7172293863118,,117143.44587726236,
2005,United States of America,Rwanda,MAIZE MEAL,720.0,517.7466065457517,,372777.5567129412,
2005,United States of America,Rwanda,CORN-SOYA BLEND,160.0,1119.2139932688615,,179074.23892301784,
2005,United States of America,Rwanda,VEGETABLE OIL,30.0,3196.723790366448,,95901.71371099344,
2005,United States of America,Rwanda,PINTO BEANS,398.0,1644.186681807485,,654386.299359379,
2005,United States of America,Somalia,RICE,63.749,1739.8616421225033,1415.706689955187,110914.43982366748,-20664.554045714256
2005,United States of America,Somalia,VEGETABLE OIL,199.902,3196.723790366448,,639031.4791418337,
2005,United States of America,Somalia,LENTILS,696.9,1781.7565890595265,,1241706.166915584,
2005,United States of America,Sri Lanka,CORN-SOYA BLEND,198.0,1119.2139932688615,,221604.3706672346,
2005,United States of America,Sri Lanka,VEGETABLE OIL,1628.733,3196.723790366448,,5206609.529254916,
2005,United States of America,Sri Lanka,PEAS,993.75,1105.0226183501086,,1098116.2269854203,
2005,United States of America,Sudan,WHEAT,65847.459,1961.3412331771283,1808.4462046018339,129149336.4366404,-10067749.125415528
2005,United States of America,Sudan,CORN-SOYA BLEND,3223.9,1119.2139932688615,8154.27020110917,3608233.9928994826,22680317.70845637
2005,United States of America,Sudan,VEGETABLE OIL,2968.774,3196.723790366448,,9490350.474021362,
2005,United States of America,Sudan,PEAS,1594.5,1105.0226183501086,,1761958.564959248,
2005,United States of America,Sudan,PEAS,1029.53,1105.0226183501086,,1137653.9362699874,
2005,United States of America,Tajikistan,WHEAT FLOUR,1009.8,1984.658988039939,1723.2789936105405,2004108.6461227303,-263941.51837480656
2005,United States of America,Tajikistan,VEGETABLE OIL,200.0,3196.723790366448,357389.88819912553,639344.7580732896,70838632.88175182
2005,United States of America,Tajikistan,WHEAT FLOUR,2937.0,1984.658988039939,1723.2789936105405,5828943.447873301,-767673.0436391433
2005,United States of America,Tajikistan,VEGETABLE OIL,250.0,3196.723790366448,357389.88819912553,799180.947591612,88548291.10218978
2005,United States of America,Tajikistan,LENTILS,520.0,1781.7565890595265,15097.900726605116,926513.4263109538,6924394.951523706
2005,United States of America,Tanzania,VEGETABLE OIL,39.989,3196.723790366448,,127833.78765296389,
2005,United States of America,Tanzania,PEAS,559.45,1105.0226183501086,,618204.9038359683,
2005,United States of America,Uganda,MAIZE MEAL,2016.15,517.7466065457517,,1043854.8207872172,
2005,United States of America,Uganda,CORN-SOYA BLEND,3091.099,1119.2139932688615,,3459601.255379385,
2005,United States of America,Uganda,VEGETABLE OIL,1806.153,3196.723790366448,,5773772.264141732,
2005,United States of America,Uganda,PEAS,1390.099,1105.0226183501086,,1536090.8367458675,
2005,United States of America,Zambia,BULGUR WHEAT,200.0,1961.3412331771283,886.445480600374,392268.24663542566,-214979.15051535083
2005,United States of America,Zambia,BEANS,34.0,654.4143339759094,,22250.08735518092,
2005,United States of America,Zimbabwe,MAIZE MEAL,60.0,517.7466065457517,3776.817501710124,31064.7963927451,195544.25370986233
2005,United States of America,Zimbabwe,CORN-SOYA BLEND,1090.6,1119.2139932688615,3394.849075011324,1220614.7810590202,2481807.6201483295
2005,Australia,"Korea, Democratic People's Republic of",WHEAT FLOUR,2688.0,2038.3113557636955,2204.7192012784803,5478980.924292813,447304.2887437417
2005,Belgium,Cape Verde,MAIZE MEAL,13.0,273.6817123210212,,3557.862260173276,
2005,Canada,Cambodia,CANNED FISH,149.99,,,,
2005,Canada,Côte d'Ivoire,PEAS,73.45,1198.5304697317051,,88032.06300179375,
2005,Canada,Haiti,BEANS,294.0,1133.914245344889,3784.194385568587,333370.78813139733,779182.3612257673
2005,Canada,Malawi,PEAS,163.5,1198.5304697317051,,195959.73180113378,
2005,Canada,Mali,VEGETABLE OIL,433.283,2770.8855292768285,4772.542940114962,1200577.594781652,867284.1279401791
2005,Canada,Mozambique,PEAS,84.0,1198.5304697317051,,100676.55945746323,
2005,Canada,Somalia,VEGETABLE OIL,50.013,2770.8855292768285,,138580.29797572203,
2005,Canada,Sudan,PEAS,18.5,1198.5304697317051,,22172.813690036546,
2005,Canada,Yemen,WHEAT,1425.75,1341.2082980589053,4159.873518777667,1912227.730957484,4018711.9384397753
2005,Canada,Yemen,VEGETABLE OIL,167.804,2770.8855292768285,,464965.67535476893,
