year,country_export,country_import,Product,Commodity Cereals Non Cereals,Tonnage,Exporter Footprint (per unit),Importers Footprint (per unit),Water Footprint Traded (m3),Water Saved (m3)
2005,Libyan Arab Jamahiriya,Niger,RICE,CEREALS,23.725,0.0,4388.472158178989,0.0,104116.50195279652
2005,Libyan Arab Jamahiriya,Niger,WHEAT FLOUR,CEREALS,29.24,5973.276862852214,2807.4769731028937,174658.61546979874,-92567.98877627014
2005,Libyan Arab Jamahiriya,Niger,MISCELLANEOUS,NON CEREALS,288.0,,,,
2005,Norway,Algeria,PASTA,CEREALS,20.4,700.8766727543921,3395.134989143969,14297.884124189597,54962.86965434736
2005,"Korea, Republic of","Korea, Democratic People's Republic of",MAIZE,CEREALS,16976.548,1294.09424292165,1707.6519820195265,21969253.03148305,7020782.808566577
2005,Saudi Arabia,Djibouti,DRIED FRUITS,NON CEREALS,300.0,0.0,,0.0,
2005,Saudi Arabia,Syrian Arab Republic,DRIED FRUITS,NON CEREALS,1320.0,0.0,2179.358336463796,0.0,2876753.0041322107
2005,Switzerland,Bulgaria,DAIRY PRODUCTS,NON CEREALS,66.0,0.0,0.0,0.0,0.0
2005,Switzerland,Moldova,DAIRY PRODUCTS,NON CEREALS,75.0,0.0,2880.1428690090142,0.0,216010.71517567607
2005,Syrian Arab Republic,Occupied Palestinian Territory,WHEAT FLOUR,CEREALS,778.02,1916.8037442276425,2130.9918907594283,1491311.6490839904,166642.66176466
2005,China,Lao People's Democratic Republic,RICE,CEREALS,1498.0,1089.826055002166,2464.487280843957,1632559.4303932446,2059242.5163110027
2005,United States of America,Afghanistan,WHEAT,CEREALS,26050.0,1961.3412331771283,2735.933782625488,51092939.124264196,20178135.913129777
2005,United States of America,Afghanistan,PEAS,NON CEREALS,868.55,1105.0226183501086,,959767.3951679867,
2005,United States of America,Angola,SORGHUM,CEREALS,4500.0,1129.2576549703522,,5081659.447366585,
2005,United States of America,Angola,VEGETABLE OIL,NON CEREALS,1050.0,3196.723790366448,,3356559.9798847707,
2005,United States of America,Angola,PEAS,NON CEREALS,1543.1,1105.0226183501086,,1705160.4023760525,
2005,United States of America,Bolivia,WHEAT FLOUR,CEREALS,352.0,1984.658988039939,,698599.9637900585,
2005,United States of America,Bolivia,CORN-SOYA BLEND,CEREALS,378.13,1119.2139932688615,2903.095580339847,423208.3872747546,674539.1445191518
2005,United States of America,Bolivia,WHEAT-SOYA BLEND,CEREALS,303.94,1807.0259951642697,,549227.4809702281,
2005,United States of America,Bolivia,PEAS,NON CEREALS,166.78,1105.0226183501086,,184295.67228843112,
2005,United States of America,Bolivia,WHEAT,CEREALS,4187.0,1961.3412331771283,,8212135.743312636,
2005,United States of America,Bolivia,WHEAT FLOUR,CEREALS,1446.0,1984.658988039939,,2869816.896705752,
2005,United States of America,Chad,SORGHUM,CEREALS,10900.0,1129.2576549703522,,12308908.439176839,
2005,United States of America,"Korea, Democratic People's Republic of",BEANS,NON CEREALS,496.8,654.4143339759094,3178.6830233120622,325113.0411192318,1254056.6848622009
2005,United States of America,"Congo, Democratic Republic of the",MAIZE MEAL,CEREALS,180.0,517.7466065457517,3309.361430095932,93194.3891782353,502490.6682390325
2005,United States of America,El Salvador,SOYA FLOUR,NON CEREALS,4000.0,1944.365596648719,,7777462.386594876,
2005,United States of America,Eritrea,SORGHUM,CEREALS,20000.0,1129.2576549703522,7275.585394848904,22585153.099407043,122926554.79757105
2005,United States of America,Eritrea,SOFT WHITE WHEAT,CEREALS,6300.0,1961.3412331771283,5898.43602142438,12356449.769015908,24803697.165957686
2005,United States of America,Eritrea,CORN-SOYA BLEND,CEREALS,5814.0,1119.2139932688615,7838.26486086333,6507110.156865161,39064561.74419424
2005,United States of America,Eritrea,VEGETABLE OIL,NON CEREALS,1310.0,3196.723790366448,,4187708.165380047,
2005,United States of America,Eritrea,LENTILS,NON CEREALS,1328.0,1781.7565890595265,,2366172.750271051,
2005,United States of America,Eritrea,TEXTURED SOY PROTEINS,NON CEREALS,80.0,440.72286857370966,,35257.82948589677,
2005,United States of America,Ethiopia,WHEAT,CEREALS,10670.0,1961.3412331771283,4226.952559226829,20927510.95799996,24174072.848950308
2005,United States of America,Ethiopia,HARD RED WINTER WHEAT,CEREALS,34660.0,1961.3412331771283,4226.952559226829,67980087.14191927,78526088.56088263
2005,United States of America,Ethiopia,CORN-SOYA BLEND,CEREALS,2437.8,1119.2139932688615,4498.175784288136,2728419.8727908307,8237233.054146788
2005,United States of America,Ethiopia,VEGETABLE OIL,NON CEREALS,2999.461,3196.723790366448,9211.524549245069,9588448.336976336,18041160.299026825
2005,United States of America,Ethiopia,RICE,CEREALS,480.0,1739.8616421225033,4017.6560419336483,835133.5882188017,1093341.3119093496
2005,United States of America,Ethiopia,BULGUR WHEAT,CEREALS,2880.0,1961.3412331771283,4226.952559226829,5648662.75155013,6524960.619023139
2005,United States of America,Ethiopia,HARD RED WINTER WHEAT,CEREALS,4790.0,1961.3412331771283,4226.952559226829,9394824.506918445,10852278.251778068
2005,United States of America,Ethiopia,CORN-SOYA BLEND,CEREALS,310.0,1119.2139932688615,4498.175784288136,346956.33791334706,1047478.1552159751
