Donor,Recipient,Commodity,VWT,Water Saved
United States of America,Mali,PEAS,87849.29815883363,
United States of America,Mozambique,VEGETABLE OIL,20268043.995489825,0
United States of America,Nicaragua,RICE,2157254.450067692,377642.77069816855
United States of America,Nicaragua,VEGETABLE OIL,1245750.4742106434,0
United States of America,Nicaragua,BEANS,345694.3719227741,3646802.499554105
United States of America,Nicaragua,WHEAT,49747459.03830468,0
United States of America,Niger,SOYA-FORTIFIED BULGUR WHEAT,15956039.537300501,8542724.21538082
United States of America,Peru,SOYA OIL,36461831.55291971,0
United States of America,Philippines,PEAS,3315067.855050326,0
United States of America,Rwanda,MAIZE MEAL,1448007.821856831,0
United States of America,Rwanda,CORN-SOYA BLEND,1566871.6102265744,0
United States of America,Rwanda,PINTO BEANS,1821758.8434426934,0
United States of America,Somalia,VEGETABLE OIL,3452071.6932933396,0
United States of America,Somalia,LENTILS,7843648.856357848,0
United States of America,Sri Lanka,PEAS,1098116.2269854203,
United States of America,Sudan,WHEAT,748215128.9018528,-58326604.0497223
United States of America,Tajikistan,WHEAT FLOUR,60381562.75097532,-7952264.157519182
United States of America,Tajikistan,VEGETABLE OIL,8813389.867106829,976513033.6270998
United States of America,Tajikistan,LENTILS,1478857.968919407,11052399.63416284
United States of America,Tanzania,VEGETABLE OIL,2682271.834058985,0
United States of America,Tanzania,PEAS,627431.8426991918,0
United States of America,Zambia,BULGUR WHEAT,4294454.697102981,-2353537.995054432
United States of America,Zimbabwe,MAIZE MEAL,4410230.3128825305,27761173.268872015
United States of America,Zimbabwe,CORN-SOYA BLEND,5476425.990463866,11134910.018474044
Belgium,Cape Verde,MAIZE MEAL,73620.38061435471,0
Canada,Cambodia,CANNED FISH,,
Canada,Côte d'Ivoire,PEAS,626771.5091461951,0
Canada,Haiti,BEANS,4358766.359105754,10187676.859019896
Canada,Malawi,PEAS,3126726.2894360726,0
Canada,Sudan,PEAS,3034858.928931137,0
Canada,Yemen,WHEAT,11931053.717457507,25074141.13720893
Canada,Yemen,VEGETABLE OIL,464965.6753547689,
China,Liberia,RICE,35964259.81507148,
Denmark,Central African Republic,PEA WHEAT BLENDED,107217.03753540105,
Denmark,Gambia,PEAS,595475.3700057169,0
Denmark,Honduras,PEA WHEAT BLENDED,47652.01668240047,
Denmark,Honduras,VEGETABLE OIL,0.0,0
Denmark,Honduras,PEAS,372172.1062535731,
Denmark,Kenya,PEAS,1442804.1927364548,0
Denmark,Mauritania,PEAS,247434.97109826596,0
Denmark,Sierra Leone,PEAS,507700.53307422355,0
Denmark,Zambia,VEGETABLE OIL,0.0,0
European Community,Haiti,WHEAT-SOYA BLEND,284945.78360776056,
Germany,"Korea, Democratic People's Republic of",SUGAR,0.0,
India,Guinea,RICE,2507380.177021037,2959220.4466557573
Italy,Cape Verde,MAIZE MEAL,13658.83469041346,0
Japan,Lao People's Democratic Republic,RICE,11997524.57429672,16883801.869913608
Japan,Maldives,WHEAT FLOUR,5061515.592107762,
Japan,Peru,RICE,1535650.3849684342,337585.0978570087
Japan,Uganda,RICE,3347717.8392311865,6081875.178028968
Luxembourg,Mauritania,WHEAT,1113668.6469467082,0
Libyan Arab Jamahiriya,Niger,RICE,0.0,3628059.644970525
Libyan Arab Jamahiriya,Niger,WHEAT FLOUR,234391.38409832088,-124225.98767376335
Libyan Arab Jamahiriya,Niger,MISCELLANEOUS,0,0
Norway,Algeria,PASTA,14297.884124189595,54962.86965434736
Saudi Arabia,Djibouti,DRIED FRUITS,0.0,
Saudi Arabia,Syrian Arab Republic,DRIED FRUITS,0.0,2876753.0041322107
Switzerland,Bulgaria,DAIRY PRODUCTS,0.0,0.0
Switzerland,Moldova,DAIRY PRODUCTS,0.0,216010.71517567607
