"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"8350",5946,3914,-338,1000,15.038,64.3966666666667,7,-3.84
"8351",-66.5,9209,175,6000,22.45,66.005,7,-0.11
"8352",16071,2567,-414,-7000,40.702,66.3783333333333,7,-0.16
"8353",46329,1673.5,-12874,-18000,11.67,63.7716666666667,7,10.1900000000001
"8354",2070.5,2124,236,5000,33.974,64.885,7,-0.969999999999999
"8355",-388.5,334,708,-3000,37.842,67.0366666666667,7,-4.84
"8357",1185.5,4005,-226,-9000,35.09,68.9483333333333,7,-742.67
"8358",-143.5,2698,-2016,8000,24.286,64.435,7,1.7
"8360",-121.5,1784.5,-582,-1000,26.374,63.3866666666667,7,-1.86
"8361",93765.5,3515.5,1970,-5000,46.284,70.07,7,-401.53
"8364",352,-516.5,17599,-9000,22.846,70.5716666666667,7,-28.42
"8365",1095.5,4848.5,-15632,-17000,16.706,61.535,7,309.79
"8366",18084,3695.5,-190,-5000,50.024,70.135,7,-72.31
"8367",666,1740.5,-8996,1000,24.558,63.0566666666667,7,-3.84
"8368",1691.5,3824.5,4,6000,30.756,65.8083333333333,7,2.85
"8369",-44.5,3912.5,-4223,0,18.592,63.8766666666667,7,13.52
"8370",116.5,5497,-159,-9000,34.198,71.13,7,382.68
"8371",503.5,2223.5,2542,-2000,32.014,69.5733333333333,7,6.65
"8373",4258,2190,447,-14000,41.214,63.86,7,-1.32
"8376",16852.5,3394,847,-7000,30.41,69.3466666666667,7,26.86
"8378",-179,3458,-136,7000,23.522,62.0216666666667,7,5.36
"8379",122,2814.5,-144,-5000,33.306,65.5783333333333,7,-0.12
"8381",-249,288.5,-6964,7000,25.368,62.8116666666667,7,0.350000000000001
"8383",275210.5,2676.5,-1092,-14000,51.644,69.6466666666667,7,-320.5
"8386",-125.5,3908,-7558,-12000,25.984,64.3116666666667,7,-2.06
"8387",24425,3033.5,91,-7000,32.46,68.2033333333333,7,3.79
"8390",83755,1790.5,14321,11000,23.526,74.975,7,75.81
"8391",1266.5,2520,-269,-2000,39.02,66.5916666666667,7,-4.23
"8392",108.5,2616.5,-25369,9000,20.098,60.3383333333333,7,-48.74
"8393",4358,4213,-1515,-2000,36.922,65.7766666666667,7,-41.04
"8396",329,1402.5,-4255,2000,20.1,64.1633333333333,7,6.13
"8397",48.5,968,-9216,8000,12.06,61.7583333333333,7,-29.52
"8400",-49,5671,-543,4000,20.82,64.39,7,0.82
"8401",154.5,3069.5,-317,-6000,33.254,64.5133333333333,7,3.37
"8404",66.5,1580.5,-158,5000,14.99,61.4633333333333,7,-1.2
"8407",652.5,2362,3038,-8000,28.01,72.76,7,-1.85
"8408",10400,2634.5,479,-1000,38.872,66.2133333333333,7,6.66
"8409",-314,1112,-301,-20000,24.642,64.7116666666667,7,11.07
"8410",-283,1173,-485,-12000,29.904,70.5333333333333,7,0.39
"8411",13544.5,2541,-225,-21000,42.468,65.5516666666667,7,52.62
"8412",3886,5899.5,218,0,31.14,66.9716666666667,7,0.7
"8413",-86.5,-652,253,16000,27.982,73.645,7,0.28
"8414",-43.5,4697.5,277,1000,24.466,63.43,7,0.92
"8415",2586.5,2843.5,-386,2000,27.468,65.6133333333333,7,-0.0299999999999994
"8416",50,4995.5,6029,-3000,24.696,65.1866666666667,7,13.78
"8417",88,-571.5,-1388,-2000,20.47,69.4066666666667,7,-3.02
"8418",31,2519,99,-40000,29.838,73.015,7,-12.77
"8419",-272.5,3466,-346,-36000,25.954,64,7,-10.48
"8422",957.5,2879.5,-271,-8000,32.118,66.4583333333333,7,2.28
"8423",421.5,1925,-1804,-3000,22.61,71.9066666666667,7,1.07
"8424",3.5,3385,1066,-19000,35.79,69.6366666666667,7,-0.32
"8425",421,2955.5,-493,-9000,34.582,68.3,7,3.16
"8428",559.5,2034,-429,-25000,40.032,66.6033333333333,7,6.82
"8430",-401,2827,-1329,-7000,28.812,71.75,7,-6.87
"8431",974,2740,531,-6000,30.016,67.0433333333333,7,-90.92
"8432",13652,2754,-3997,-5000,22.2,60.8583333333333,7,-72.31
"8433",-281,2831,-2051,0,22.648,61.7033333333333,7,-28.54
"8434",7.5,2768.5,59,2000,27.09,65.5433333333333,7,5.66
"8435",8035,1739,572,-12000,37.602,66.8666666666667,7,-124.72
"8438",-70,2024,218,0,17.914,63.5866666666667,7,20.56
"8439",95,1312,-1232,-3000,29.16,65.8683333333333,7,-4.93
"8440",-655,3457,-3099,-18000,44.402,70.3616666666667,7,-12.48
"8441",2598,1843,-84,0,19.36,71.38,7,4.13
"8442",2884.5,2697,10208,-14000,26.36,69.445,7,-2.38
"8443",-74,3687.5,-567,-3000,25.348,64.725,7,0.92
"8444",8047,5293.5,2461,1000,15.974,64.3916666666667,7,4.24
"8445",348,2294.5,-298,-11000,35.05,67.5133333333333,7,-9.91
"8446",-132,2261.5,-1600,-1000,31.024,65.6516666666667,7,2.53
"8447",-178,-342.5,133,6000,21.338,64.5016666666667,7,6.05
"8448",336,2606.5,-2,-10000,36.096,64.0333333333333,7,2.64
"8452",-151.5,1585,911,3000,24.346,62.0916666666667,7,-3.24
"8454",1179.5,2636.5,-213,3000,39.904,66.5333333333333,7,43.37
"8456",-406,2948,-1851,4000,24.222,64.2033333333333,7,4.33
"8457",10362.5,2761,-3890,-3000,30.196,72.8233333333333,7,-114.47
"8461",450.5,3048.5,111,6000,32.928,65.2483333333333,7,-67.69
"8463",11831.5,4117,686,-8000,35.224,65.1766666666667,7,11.7
"8465",-704.5,2252.5,-3337,4000,14.602,65.2616666666667,7,84.99
"8468",199.5,3038.5,-1452,2000,14.254,65.0366666666667,7,-2.7
"8471",-14,4927,3563,6000,17.158,64.3433333333333,7,8.95
"8472",116,376.5,-37,-2000,25.464,66.145,7,0.28
"8474",66,1150.5,2595,-3000,11.726,65.37,7,-26.9
"8477",287,3199.5,-1862,-13000,38.622,67.2,7,398.79
"8479",-501.5,3239.5,1021,1000,23.67,65.2616666666667,7,2.5
"8484",-519,2670.5,-8626,1000,32.138,72.3416666666667,7,-24.33
"8485",-81.5,2206,-127,-11000,29.03,66.2383333333333,7,-4.55
"8486",204,2665,784,1000,21.868,64.4133333333333,7,0.78
"8487",109,3276.5,876,0,23.358,63.6866666666667,7,4.52
"8492",695.5,3973.5,-414,0,37.274,66.0266666666667,7,1980.7
"8493",3196,2295,2120,-6000,24.384,74.7916666666667,7,8.98
"8495",-116.5,1834,299,2000,21.16,63.95,7,0.16
"8496",-129.5,4541.5,-1658,-2000,24.886,64.0066666666667,7,-0.81
"8497",90,3110,376,5000,21.806,65.0666666666667,7,1.09
