,population_1980,pop_changes,income_per_capita_1980,income_changes,liv_avg,avg_ag,mat,seasonality_t,mapcp,seasonality_p,cluster,Geo_FIPS
66,0.002881466665864216,0.16814707734626247,0.26586196224079234,0.22876045787097,0.0233406055467458,0.00020291263841247712,0.6296349625628092,0.28443860804575116,0.5260139952982755,0.10063656183251135,4,01133
67,0.006914450063828265,0.173262943238168,0.07180439492417207,0.1306227465257115,0.05930836651155722,0.009547365359140412,0.39371611288753006,0.3962613787715037,0.08666829952776739,0.5563324543409371,5,04001
68,0.01140523157723688,0.1793256184000328,0.319405756731662,0.30284944166345784,0.09304567096667114,0.06769435845924211,0.6580951718933089,0.22618779360196303,0.10709584970963304,0.8184492747867562,5,04003
69,0.009977136842583917,0.18691901154602805,0.30836686268441144,0.29789617390695555,0.06183247779841904,0.0019796166654538557,0.4506712875613196,0.3786265124778415,0.0932836760434097,0.52588345170259,5,04005
70,0.004904578582992459,0.17244885352376155,0.29598679459403693,0.2760877936080092,0.026406493400016398,0.0015416535010705874,0.6202111179519775,0.2668831427047972,0.15302121269694482,0.5279259206099635,7,04007
71,0.00300303794454932,0.17206932719211573,0.20437429072526564,0.179840375258165,0.03241090872005711,0.03640344417784046,0.6512978888204805,0.25144292367379506,0.11618569751019203,0.6489082620433563,7,04009
72,0.0014708921044871033,0.16708646750707098,0.40493139378933246,0.2812860993453985,0.014430905140608347,0.004997875811095621,0.536766896387361,0.2727513349343029,0.13246776434609633,0.6317217677567101,5,04011
73,0.20176873505017656,1.0000000000000002,0.5234705457546682,0.391955753141737,0.262078639889457,0.21619784276601245,0.8867798057635395,0.21930051504760464,0.05398055674459381,0.5770639625355586,7,04013
74,0.007416917934037216,0.21211193504252043,0.4158671206024966,0.28555676129800117,0.03410344161837787,0.018503123358723873,0.6875732358840937,0.2889893014270518,0.06501839257795958,0.4541254335786641,7,04015
75,0.008990256242564793,0.1798662427667126,0.19013721242133497,0.1777925578464662,0.04695176942750816,0.007465254890122203,0.4321612281781896,0.40034099163416603,0.07668343019862153,0.5926710316373994,5,04017
76,0.07102156653085188,0.3129845302888672,0.4647683895594759,0.3259005145797598,0.0453482163746783,0.03134959246649312,0.8146163929216897,0.19919265255229554,0.0830241198001195,0.8002377373552261,7,04019
77,0.012104968574025071,0.26987446679273597,0.27555968224491895,0.2986137851366962,0.32925629453064226,0.2170645041181856,0.8438064785207838,0.2207963747620517,0.08145153721664328,0.6027760312290141,7,04021
78,0.0026816564454510737,0.17513448962737913,0.28938409161250384,0.19706304477193964,0.021925370992867097,0.002736835481617611,0.6481698476693615,0.1986225662123162,0.14202915801593638,0.8872095014456951,2,04023
79,0.009059267001422344,0.21472562166785772,0.39286082740121736,0.356162705219309,0.07420557234185936,0.008619516557381765,0.6142132231733236,0.27096994363118265,0.11819091198344553,0.570961092305868,5,04025
80,0.012056286565838738,0.20243573349339944,0.31352522438873415,0.22483985017677738,0.14620170715931968,0.18182999115387755,0.9297084467041371,0.205290318368314,0.013727478534362188,0.5981443426123243,7,04027
81,0.0031786409026500263,0.16580427620688085,0.3520066027029815,0.27890573038821015,0.005661433139296549,0.29512888064992265,0.6797829238744021,0.29500314567914954,0.4474695612563263,0.14922714511962212,4,05001
82,0.0034946727305190045,0.16576873144470256,0.2642112864954091,0.22674764588511215,0.0067813018333638155,0.08687749249585151,0.7115201286965501,0.25832788185682265,0.49314770602090824,0.1484466060977438,4,05003
83,0.003611161821536305,0.1717316519514218,0.3178582482203652,0.29740609794518147,0.028091873851426877,6.683329469709414e-05,0.5646014974876369,0.3598075301866568,0.40510597192241926,0.1823650798939458,1,05005
84,0.010392672555317272,0.2236530900007711,0.3567522954709584,0.44661672559246685,0.15097484987311954,0.0004883414746098141,0.5643731008321583,0.3607263183803764,0.41101402963413985,0.2604234986486719,6,05007
85,0.0034316803517943795,0.1709273083814836,0.28804291756938,0.2509013897154059,0.0902081079513755,0.00024050335073669109,0.5500585887072752,0.36164195963644963,0.4022515170729362,0.19431448414878796,1,05009
86,0.0017914711529009592,0.1667834770746317,0.19818425668007839,0.23399376903420027,0.007263450659367688,0.0008082726976002359,0.6963118905284901,0.26600002190246463,0.4887206685879491,0.14608310086897422,4,05011
87,0.000758449638529402,0.16737942514373416,0.1666150830496234,0.2727972835789547,0.005459728432590612,7.962089259942623e-05,0.6887400448849083,0.27040447958688896,0.4856235736309718,0.13060595171194403,4,05013
88,0.00211245142665701,0.17104225555594732,0.267822139688435,0.28401652256099696,0.09935759892976481,0.00020537364782009576,0.5517467378999429,0.35899659248853255,0.4047580351645031,0.22208784174942675,1,05015
89,0.002325100858020394,0.1655331040696173,0.14948932219127203,0.21610599642944656,0.009063704189554808,0.15578556288882742,0.7161526086870172,0.2618765577802583,0.4903871025337579,0.1592728165352953,4,05017
90,0.003065094130808823,0.16736050615741344,0.2995976477870628,0.19571533587706091,0.022258372210679552,0.0012565624504782176,0.6714911322515941,0.28688081743594307,0.4847857785428317,0.16108343220341798,4,05019
91,0.002702653905025949,0.16594989507128877,0.2220158877540493,0.2303532047467357,0.01052471919324424,0.20437418847008407,0.5979325137534509,0.36631840547341543,0.4296332242978888,0.13493815948948057,1,05021
92,0.0022068731238535817,0.1699802124602164,0.2528628907458991,0.3048447509363951,0.039699486279113017,0.00029493508822284436,0.6063335385593133,0.3338637983970264,0.45524548998422837,0.14034549659422627,1,05023
93,0.0009977136842583916,0.16769875470072315,0.22603940988342103,0.24827598277733048,0.010754693777158318,2.7987950125858915e-05,0.6828861393020992,0.2795055032975763,0.4846324116824345,0.12749735897432427,4,05025
94,0.0035088493592765634,0.16677602414062656,0.29753430310533374,0.22247698393250953,0.018083442649831926,0.00016541843626111097,0.7011082202935396,0.2591620203760179,0.47383721595656275,0.13717582531738412,4,05027
95,0.0025540667866330437,0.16804130301365122,0.25265655627772615,0.2882346763748381,0.049363697990509464,0.012103919837878351,0.634798713034498,0.32643687152501966,0.4502095632249159,0.13661915340213754,4,05029
96,0.008403129825152683,0.18078352695195926,0.32982564737439385,0.3078377148458011,0.01010535377551857,0.23898524571779536,0.6222120712597569,0.348648136294721,0.44296927397959535,0.1490880621745343,1,05031
97,0.004879435128214902,0.17516057489639708,0.2603940988342102,0.268036545664578,0.04009542530450311,0.0033268986784089952,0.6120583503803306,0.33506621612821663,0.44898262834173797,0.2284745745767467,1,05033
98,0.006565517757899291,0.16732238153346413,0.23728463839884456,0.2492211292750376,0.0017586291711076494,0.14212454792222282,0.6614516096999067,0.3174681568783313,0.4701861690560613,0.15366109740887055,4,05035
99,0.002678312900932782,0.16653695694984663,0.2597750954296915,0.26367837014737283,0.006107854390423875,0.20438441854840592,0.6482046036821517,0.32637440816406826,0.4599174565822996,0.1487588333047128,4,05037
100,0.0013517281778551696,0.16666795659755218,0.29970081502114926,0.18731403367521965,0.004887849902693932,3.217005761592979e-07,0.6751355484498821,0.28210596736658067,0.48727169511583773,0.12498405957290168,4,05039
101,0.002588170940719624,0.16528601064221649,0.2497678737233055,0.1583470437917877,0.0051857014019840945,0.1995569797025595,0.6928958709856806,0.2822173727308148,0.47235161756256566,0.16302370983843373,4,05041
102,0.0023407486463660017,0.16774404560736972,0.2724646652223253,0.2831413869149718,0.014255042223497582,0.05489710953962524,0.6977070961847832,0.2702715495234028,0.48447675576441934,0.15446751804087483,4,05043
103,0.006123233689019599,0.19017594370626956,0.3024863303414835,0.29509573983967513,0.061598213875063236,0.005372142261399347,0.6428422474230898,0.32157653620928484,0.45451985871936373,0.1397273314598675,4,05045
104,0.0019121062391209416,0.16852574372398463,0.21066749200453933,0.19209227430251685,0.06200405137608808,0.0008184062657492538,0.6092828345017977,0.33468218577972575,0.4512899984205502,0.20662465103502492,1,05047
105,0.001279507616260058,0.16830960863783587,0.16816259156092023,0.1979906885567263,0.05774770685314461,0.0003250462621513546,0.554105181624993,0.3687205065424738,0.4188792316091389,0.16644929092363778,1,05049
106,0.009378374890248151,0.17581585978623268,0.3832662746311771,0.27894073581405116,0.012039845863736985,0.00011793543121999861,0.6426535719250862,0.30249112565073033,0.486163791228789,0.16517289206851482,4,05051
107,0.0016851464372192675,0.16913946417417622,0.3128030537501289,0.349791717716246,0.016585937870831048,0.00012715215272696248,0.6742517526960733,0.2916546240096032,0.481066059913794,0.1368280750199881,4,05053
108,0.004057190660276484,0.17178582904861292,0.25802125245022184,0.2425000875135646,0.011048925965401328,0.14342396088944548,0.6069442513554845,0.3578442690686737,0.4366583421271298,0.14545349737976032,1,05055
109,0.0031064203410549147,0.16708675415837887,0.253069225214072,0.21183533447684388,0.06921674062194423,0.0012848721011802357,0.6825683700423034,0.2767091573355632,0.4744003241305587,0.1560902869463652,4,05057
110,0.003532254170904609,0.1696058458521126,0.2910347673578871,0.22849791717716245,0.022502534609670114,0.00048158576251046897,0.6637057853865865,0.2929463181428612,0.4850398639384151,0.15950965437955159,4,05059
111,0.0017454639803292588,0.16758782064456987,0.272155163520066,0.2281828683445934,0.05475176822769293,0.0009330603510924275,0.6550614684911921,0.2866786680211666,0.4928226598391708,0.1818005565400102,4,05061
112,0.0039773468171796665,0.16977497012376747,0.2527597235118126,0.26208562327160706,0.06366237599409691,0.02432365188317405,0.6052412067287641,0.345098434260638,0.4428983131934415,0.13932944268015257,1,05063
113,0.0013855648483802865,0.16845350759439645,0.22098421541318475,0.19996849511674308,0.042899993401016245,0.00023722200485986627,0.5727443347699154,0.3547780611457263,0.42424936078066017,0.155355554078108,1,05065
114,0.0028404079391795875,0.1662847037989038,0.2635922830908903,0.170196380438968,0.007572251373288513,0.17623877080011374,0.6253649381342977,0.3422433145558834,0.4403528811223707,0.14587025895173655,1,05067
115,0.012078220217878735,0.1611659713939194,0.29237594140101103,0.20101865789197326,0.0070950363117764075,0.18248857657339088,0.6784721256777423,0.29131333366045975,0.4651319298358058,0.13238625920352062,4,05069
116,0.0022756163991496693,0.17023762533470124,0.25688641287527075,0.20941996009381453,0.037945806345822744,0.001212746832005321,0.5936972453377297,0.3389602468719122,0.4575894849849266,0.1850674298733083,1,05071
