,Geo_FIPS,TW_1985,TW_1990,TW_1995,TW_2000,TW_2005,TW_2010,TW_2015
2729,48451,200.82,196.96,257.92,,42.04,55.93,50.25
2730,48453,605.96,434.03,590.48,,563.11,293.29,134.25
2731,48455,2.13,1.93,1.91,,3.51,2.21,1.88
2732,48457,2.6,2.22,3.1,,5.28,5.13,4.85
2733,48459,8.47,9.01,6.89,,21.49,23.59,22.39
2734,48461,13.07,16.61,29.22,,16.82,21.85,29.55
2735,48463,143.92,143.46,60.82,,64.98,55.7,38.41
2736,48465,12.26,12.47,12.37,,17.36,13.08,11.35
2737,48467,8.09,8.07,9.67,,15.54,11.34,8.84
2738,48469,54.05,62.46,48.27,,27.1,64.95,68.63
2739,48471,4.57,6.42,5.22,,7.49,12.27,5.21
2740,48473,37.42,25.61,24.45,,27.29,26.93,16.65
2741,48475,26.86,37.18,40.15,,24.29,18.93,26.5
2742,48477,5.51,5.51,6.54,,8.05,6.66,3.25
2743,48479,27.93,33.65,43.11,,88.77,43.46,43.6
2744,48481,446.23,181.65,273.45,,291.69,223.58,139.65
2745,48483,6.09,4.96,6.17,,11.91,17.87,19.4
2746,48485,36.63,41.49,30.83,,42.19,71.06,22.04
2747,48487,26.56,26.53,28.57,,32.08,34.75,21.86
2748,48489,0.25,0.8,0.67,,35.02,41.67,35.5
2749,48491,16.71,22.34,25.95,,54.1,64.14,38.66
2750,48493,11.53,15.7,17.12,,21.59,21.49,16.92
2751,48495,24.21,7.49,7.42,,15.07,14.45,15.64
2752,48497,11.21,15.69,21.77,,12.78,68.4,15.03
2753,48499,10.71,14.5,15.52,,20.6,52.97,15.0
2754,48501,43.65,149.04,127.48,,131.22,211.85,121.51
2755,48503,10.37,10.07,9.46,,161.93,57.98,26.09
2756,48505,6.14,4.57,5.87,,5.63,7.39,4.06
2757,48507,93.43,89.97,71.11,,53.16,39.48,34.31
2758,49001,109.7,123.38,136.05,,91.38,101.25,108.37
2759,49003,344.26,346.36,370.9,,435.86,405.27,429.99
2760,49005,233.46,357.06,292.87,,280.43,289.49,167.44
2761,49007,73.07,57.13,71.95,,54.36,41.28,44.96
2762,49009,14.45,16.65,15.35,,34.73,19.01,20.12
2763,49011,138.2,154.22,159.18,,123.88,84.05,71.94
2764,49013,142.42,157.57,171.5,,334.51,328.25,316.52
2765,49015,150.08,165.58,152.62,,224.73,130.55,153.32
2766,49017,98.1,79.15,70.92,,87.7,64.53,58.56
2767,49019,19.23,16.07,10.3,,22.51,17.13,22.97
2768,49021,173.51,162.99,154.11,,275.19,210.09,175.74
2769,49023,124.69,111.46,110.55,,73.95,56.13,66.68
2770,49025,10.23,9.22,10.03,,31.73,17.57,15.76
2771,49027,252.79,272.66,284.51,,425.47,291.08,321.14
2772,49029,106.94,120.08,106.97,,40.16,36.0,64.93
2773,49031,82.94,67.04,71.56,,59.17,46.57,38.32
2774,49033,141.25,132.52,152.79,,184.64,143.89,119.71
2775,49035,378.0,449.71,386.06,,344.41,410.81,233.48
2776,49037,17.34,39.21,42.06,,29.3,29.13,23.29
2777,49039,162.67,146.31,149.23,,272.95,181.73,207.29
2778,49041,206.76,172.86,209.38,,189.93,143.87,78.75
2779,49043,115.75,123.55,90.93,,94.79,70.92,58.04
2780,49045,148.61,128.67,210.6,,212.49,185.95,250.26
2781,49047,225.26,187.66,195.45,,287.76,274.6,239.64
2782,49049,359.81,378.93,298.82,,402.25,366.1,457.77
2783,49051,90.48,100.47,96.5,,60.58,56.27,91.87
2784,49053,100.49,85.54,84.16,,98.9,122.23,95.27
2785,49055,31.84,26.95,58.32,,68.05,69.82,61.68
2786,49057,265.39,296.15,294.84,,273.37,270.24,231.48
2787,50001,0.0,6.47,6.72,4.44,13.57,7.46,7.84
2788,50003,0.0,6.74,8.16,5.63,6.67,5.27,7.11
2789,50005,0.0,8.5,6.58,4.32,4.94,4.0,5.09
2790,50007,0.0,15.82,20.08,27.74,19.04,17.97,18.07
2791,50009,0.0,0.93,2.45,2.47,2.32,0.65,0.68
2792,50011,0.0,21.36,7.66,5.88,8.04,7.43,7.06
2793,50013,0.0,0.65,7.04,0.79,5.14,4.0,5.36
2794,50015,0.0,3.44,4.22,2.58,2.88,2.61,2.39
2795,50017,0.0,3.09,3.18,2.96,4.54,2.82,3.79
