"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"356",2098,3347.5,74,1200,46.662,62.2233333333333,4,-1.78
"357",653.5,1797.5,999,1500,51.45,66.0066666666667,4,15.71
"359",916.5,1832.5,2540,-2700,45.164,65.6183333333333,4,3.21
"360",7923,3208.5,-40,-1100,52.542,60.27,4,-1.59
"362",893,2013,263,0,46.98,67.875,4,-0.28
"366",6947.5,2759.5,-29,700,48.026,61.3666666666667,4,1.31
"367",-3.5,4570.5,4068,-800,50.992,65.67,4,0.29
"369",359,2334.5,160,-500,47.176,67.4666666666667,4,0.57
"371",3910.5,2680,4242,-500,48.1,66.24,4,8.09
"372",2704,2289.5,-1398,-3000,47.67,66.285,4,6.12
"373",11628.5,4062,23,-2000,44.922,63.195,4,5.39
"374",1157.5,2297.5,-3256,-3000,47.358,66.3083333333333,4,0.119999999999999
"375",17681,4120.5,576,-2600,48.892,61.3983333333333,4,207.83
"376",1752,2882.5,560,-800,45.096,63.5533333333333,4,0.18
"377",992.5,2723.5,-1688,-6000,48.668,65.195,4,-1.61
"380",1364.5,2908.5,7232,-4200,51.28,67.015,4,-2.13000000000001
"382",782,2912.5,-532,-2000,46.254,65.31,4,8.42
"383",812,2607.5,15029,-1800,47.282,64.8566666666667,4,13.68
"384",-123,2878.5,3489,-1800,49.048,66.4533333333333,4,88.1
"385",10527,3538,110,-300,50.174,60.5666666666667,4,4.58
"386",250,3328,-6990,-5500,52.402,66.41,4,15.08
"387",710,3406,3458,-1300,48.172,67.45,4,3.74
"388",5924,4004,128,400,46.05,65.6916666666667,4,3.80000000000001
"389",781,2623.5,-189,-500,47.358,61.325,4,0.41
"390",645.5,2546,1455,-2000,45.67,65.125,4,0.24
"391",885.5,1483,563,1200,44.706,66.2,4,1.09
"394",4657,2843.5,91,1000,52.078,60.7,4,133.63
"396",1817.5,2688.5,166,-1000,47.034,60.995,4,-0.0100000000000002
"401",4516,2999.5,891,-5500,51.22,60.3266666666667,4,-1.62
"402",1690,2539,53,-2500,50.41,66.9266666666667,4,7.55
"405",4140.5,3378,96,-2000,61.292,58.835,4,-2.54
"406",21924.5,3167,32,-4400,52.554,59.8216666666667,4,5.4
"408",1862,2942,45,-1000,52.72,59.6433333333333,4,1.59
"409",2953.5,4272.5,-157,-1200,47.4,63.115,4,-3.81
"410",1642.5,2763.5,175,-4000,47.118,61.0666666666667,4,0.19
"412",30300,4389,50,-3400,48.5,61.885,4,6.38
"413",10778.5,3288,-1053,-600,44.194,64.5766666666667,4,-1.21
"414",641,2405,5281,-2000,46.538,65.7983333333333,4,2.92
"415",5792,3461.5,-86,-1500,49.346,60.935,4,0.71
"417",326,2074,-607,100,46.348,66.075,4,1.47
"418",-71,2587,4757,-500,45.272,63.955,4,11.57
