"","Pop_change_all","Income_change_all","Ag_change_all","Livstk_change_all","Avg_Rain_all","Avg_Temp_all","cluster_all","Water_change_all"
"265",821.5,3034,-44653,5500,15.164,39.7866666666667,3,-120.06
"266",2801,6681.5,-9673,-5500,27.84,39.9833333333333,0,-35.79
"267",649,2245.5,-108915,-1500,17.174,39.7333333333333,0,221.32
"268",1470.5,9437.5,-6021,0,19.638,45.2933333333333,0,-53.16
"269",28.5,3112,-10084,-4000,18.806,50.41,5,17.43
"270",5333.5,5638,-7152,2500,27.136,35.8383333333333,0,-24.66
"271",4043.5,4857,-719,-700,19.798,40.5383333333333,3,-2.39
"272",57,3657.5,-11497,17500,17.262,50.325,5,16.58
"273",24557.5,3803.5,-71258,-106000,15.564,49.2666666666667,5,-98.1999999999998
"274",443.5,2646,-23178,8000,17.7,51.4816666666667,5,48.4
"275",18179.5,3106.5,5407,-6000,51.234,69.4666666666667,7,9.79
"276",1886.5,2873.5,109,-1500,47.296,68.2616666666667,4,2.13
"278",1786.5,1969.5,-36,0,48.826,69.0066666666667,4,-2.86
"279",38626,3195.5,-6092,-8000,49.458,72.7883333333333,7,-71.53
"280",183765,3143.5,2699,-5000,62.482,75.5433333333333,7,298.06
"281",1003,1756,657,-2500,55.016,67.4683333333333,4,1.94
"282",15326,3687.5,-1779,-8000,50.168,73.84,7,14.05
"283",12285,3217,93,500,46.016,70.5383333333333,7,-1260.13
"284",17414,3461.5,-208,0,47.532,69.305,7,12.07
"285",49639,4904.5,1855,-5500,52.306,75.1116666666667,7,21.71
"286",6950,2137,-972,4000,49.682,68.4133333333333,7,-2.99
"287",4172,1857,5882,-3000,48.708,72.9666666666667,7,62.44
"288",1621,2516,1112,1500,55.42,68.715,7,-0.12
"289",52954,3448,1318,-2000,47.856,69.0366666666667,7,94.3100000000001
"290",15806,3240,1199,-1000,61.08,67.3933333333333,4,44.22
"291",10565.5,3377.5,-3481,-1500,48.458,70.55,7,13.73
"292",1991,2951,-1518,-500,52.698,67.26,4,-0.77
"293",2385,2147.5,-2599,-2000,54.166,68.815,7,6.53
"294",1492.5,2309.5,22937,-6000,47.908,73.6883333333333,7,-24.96
"296",1198.5,855.5,237,-500,49.818,67.77,4,-4.48
"297",3719.5,1517,2523,-7000,49.35,72.6366666666667,7,40.15
"298",5218.5,1814,22431,-12000,50.02,74.3466666666667,7,-45.11
"299",14843.5,3228.5,247,-5000,47.544,70.8233333333333,7,8.83000000000001
"300",9467,2555,10731,-7000,47.866,73.0616666666667,7,54.79
"301",82447,3804.5,-5654,-6000,50.052,72.415,7,850.84
"302",1393,2763,304,-1000,57.862,66.705,4,-3.15
"303",11369.5,4701,16669,-4000,51.276,72.66,7,21
"304",2690,2125.5,-4498,-3000,54.744,67.4666666666667,4,30.55
"305",803,3631,2567,-4500,53.39,67.625,4,-3.25
"306",722,2060.5,287,-4500,54.564,68.1816666666667,4,-0.71
"307",29212,3874.5,-6103,5500,46.766,71.4966666666667,7,16.4
"308",52887.5,4459.5,-2734,-1000,50.556,74.5183333333333,7,153.12
"309",23479.5,3468,-30,-2000,53.064,67.63,4,6.24
"310",4263.5,2680,6256,4500,52.4,69.5416666666667,7,7.6
"312",1082,1392,-743,0,52.1,67.5533333333333,4,-0.199999999999999
"313",26147.5,3972,-3594,-6500,51.194,72.9066666666667,7,64.17
"314",32041.5,3033,-938,-5500,47.776,70.4416666666667,7,16.74
"315",12915.5,4628,-5641,-8000,54.57,73.98,7,28.47
"316",6861,4774,50,-5000,47.98,68.3983333333333,7,1.27
"317",13361,3885.5,234,-1000,60.748,66.7583333333333,4,-1.47
"318",3141.5,2380.5,-12039,-17000,49.31,73.045,7,30.25
"319",109426.5,3173,-10478,-3000,47.916,72.4283333333333,7,15.93
"320",32382.5,2377,-39439,-7000,48.142,72.6883333333333,7,61.23
"321",133833,4432,648,-7000,56.21,74.765,7,279.01
"322",31817,3353.5,-2003,-3000,49.69,71.3,7,928.28
"324",39271,2955,-3679,-14000,48.014,72.645,7,-29.24
"325",2676.5,2762,-1061,1000,47.672,70.1166666666667,7,0.75
"326",19653,5780.5,1864,-500,48.104,69.7683333333333,7,9.33000000000001
"327",21262,2701.5,-37496,1000,53.936,73.2966666666667,7,272.35
"328",18067.5,3716.5,691,1000,60.762,67.17,4,7.47
"329",24090.5,4942.5,-143,-3000,52.286,73.4933333333333,7,-1.46
"330",38833.5,3973.5,-2304,-3500,48.02,72.3733333333333,7,20.43
"331",10884,3455,1633,-6000,45.966,70.9433333333333,7,-21.75
"332",4032,2455,2718,-4500,52.872,68.1966666666667,4,-14.77
"333",1072.5,2475,-307,-1000,54.174,68.1116666666667,4,-3.27
"334",1595,1342.5,-661,-1500,49.238,68.7616666666667,4,-0.16
"335",36315.5,3188,-2079,-2500,48.098,71.5233333333333,7,78.09
"337",6420.5,3454,837,1500,60.318,66.8216666666667,4,0.450000000000001
"338",2027,3093,620,-1000,57.746,67.3433333333333,4,-0.49
"339",837.5,2571.5,5318,2500,45.608,66.5566666666667,4,0.810000000000002
"340",698,2138,-745,800,48.06,66.6883333333333,4,3.53
"341",268.5,2576,2435,500,47.082,66.7033333333333,4,2.86
"342",229.5,4151,-4494,-1300,49.646,66.5983333333333,4,17.78
"343",2585,2956.5,71,-600,43.162,63.8033333333333,4,1.61
"344",2057,3341.5,771,-500,50.864,60.6983333333333,4,-0.18
"345",8211.5,3597,-230,-2500,50.242,60.9483333333333,4,1.86
"346",10054,3620.5,1054,2000,48.94,60.4866666666667,4,8.06
"347",619.5,2396.5,-1347,-800,47.028,65.785,4,-6.07
"348",1041,3486,-105,-2300,47.324,66.2583333333333,4,2.36
"349",1960,3020.5,-38,-1400,42.498,63.7933333333333,4,47.74
"350",618,2579.5,1164,-600,44.58,64.9066666666667,4,7.03
"351",1776,2312,-68,-500,45.926,67.09,4,-0.73
"352",526,2727.5,1686,-500,50.746,66.7316666666667,4,0.04
"354",6429,3222.5,141,-3500,44.778,65.61,4,-1.76
"355",832,2475.5,3677,-5000,44.514,64.1633333333333,4,22.59
"356",2098,3347.5,74,1200,46.662,62.2233333333333,4,-1.78
"357",653.5,1797.5,999,1500,51.45,66.0066666666667,4,15.71
"359",916.5,1832.5,2540,-2700,45.164,65.6183333333333,4,3.21
"360",7923,3208.5,-40,-1100,52.542,60.27,4,-1.59
"361",5409,3475,-167,-2800,50.932,59.705,1,-0.00999999999999979
"362",893,2013,263,0,46.98,67.875,4,-0.28
"363",7556.5,4084.5,85,-1200,46.472,66.685,7,-391.95
"365",25849.5,5011,-12,-400,52.986,59.8033333333333,6,6.5
"366",6947.5,2759.5,-29,700,48.026,61.3666666666667,4,1.31
"367",-3.5,4570.5,4068,-800,50.992,65.67,4,0.29
"369",359,2334.5,160,-500,47.176,67.4666666666667,4,0.57
"370",80003,4348.5,148,-1100,50,60.565,6,26.6799999999999
"371",3910.5,2680,4242,-500,48.1,66.24,4,8.09
"372",2704,2289.5,-1398,-3000,47.67,66.285,4,6.12
"373",11628.5,4062,23,-2000,44.922,63.195,4,5.39
"374",1157.5,2297.5,-3256,-3000,47.358,66.3083333333333,4,0.119999999999999
"375",17681,4120.5,576,-2600,48.892,61.3983333333333,4,207.83
"376",1752,2882.5,560,-800,45.096,63.5533333333333,4,0.18
"377",992.5,2723.5,-1688,-6000,48.668,65.195,4,-1.61
"380",1364.5,2908.5,7232,-4200,51.28,67.015,4,-2.13000000000001
"381",60014,3426.5,-1,-1600,48.11,61.0916666666667,6,5.88
"382",782,2912.5,-532,-2000,46.254,65.31,4,8.42
"383",812,2607.5,15029,-1800,47.282,64.8566666666667,4,13.68
"384",-123,2878.5,3489,-1800,49.048,66.4533333333333,4,88.1
"385",10527,3538,110,-300,50.174,60.5666666666667,4,4.58
"386",250,3328,-6990,-5500,52.402,66.41,4,15.08
"387",710,3406,3458,-1300,48.172,67.45,4,3.74
"388",5924,4004,128,400,46.05,65.6916666666667,4,3.80000000000001
"389",781,2623.5,-189,-500,47.358,61.325,4,0.41
"390",645.5,2546,1455,-2000,45.67,65.125,4,0.24
"391",885.5,1483,563,1200,44.706,66.2,4,1.09
"392",1903,3419.5,-61,300,59.564,56.0433333333333,1,0.18
"393",14424,5219.5,78,-1100,48.276,61.5816666666667,6,3.28
"394",4657,2843.5,91,1000,52.078,60.7,4,133.63
"395",27162,6675.5,-96,-500,52.28,59.58,6,5.23
"396",1817.5,2688.5,166,-1000,47.034,60.995,4,-0.0100000000000002
"397",83527.5,5775.5,-118,-1200,48.764,60.805,6,-55.21
"398",5044,3735.5,-231,-1100,60.896,57.1016666666667,1,3.7
"400",2536,3826,14,-200,46.396,67.75,7,21.86
"401",4516,2999.5,891,-5500,51.22,60.3266666666667,4,-1.62
"402",1690,2539,53,-2500,50.41,66.9266666666667,4,7.55
"404",117769,3562.5,-14,-1300,50.164,60.5366666666667,6,21.73
"405",4140.5,3378,96,-2000,61.292,58.835,4,-2.54
"406",21924.5,3167,32,-4400,52.554,59.8216666666667,4,5.4
"408",1862,2942,45,-1000,52.72,59.6433333333333,4,1.59
"409",2953.5,4272.5,-157,-1200,47.4,63.115,4,-3.81
"410",1642.5,2763.5,175,-4000,47.118,61.0666666666667,4,0.19
"412",30300,4389,50,-3400,48.5,61.885,4,6.38
"413",10778.5,3288,-1053,-600,44.194,64.5766666666667,4,-1.21
"414",641,2405,5281,-2000,46.538,65.7983333333333,4,2.92
"415",5792,3461.5,-86,-1500,49.346,60.935,4,0.71
"417",326,2074,-607,100,46.348,66.075,4,1.47
"418",-71,2587,4757,-500,45.272,63.955,4,11.57
"419",164,2504.5,3933,-1100,44.206,64.6966666666667,4,1.36
"420",115.5,1917,197,-5000,44.992,64.7183333333333,4,-0.1
"421",1450,2791.5,143,-2500,43.126,63.2683333333333,4,0.28
"423",855,2685.5,6867,-400,47.598,66.775,4,-0.58
"424",2443,3170,-490,-3900,44.484,65.1083333333333,4,-0.560000000000002
"425",4253.5,4395.5,5448,-1000,49.584,65.79,4,8.56
"427",453,2861.5,79,-2300,44.248,62.5683333333333,4,0.03
"429",8067,2882,4258,-2300,49.094,66.8033333333333,4,4.86
"430",3221.5,3624,3,-200,60.116,57.5533333333333,1,0.76
"431",556,3865.5,97,300,44.718,62.8016666666667,4,1.72
"432",1106.5,2687.5,-20,-300,46.008,67.5133333333333,4,-0.24
"433",480,1859.5,-1868,-4000,46.642,64.3166666666667,4,7.95
"434",2340,3000.5,-177,0,47.584,60.9566666666667,4,-0.0699999999999998
"435",777,2132.5,-160,600,48.042,64.0416666666667,4,0.3
"436",61.5,3524,253,-2500,46.846,62.0283333333333,4,0.32
"437",51.5,2169.5,10080,-8500,52.416,66.6916666666667,4,5.22
"438",1828.5,2357.5,3976,-1500,47.6,66.665,4,45.22
"439",2322,4116,-44,-3200,44.244,62.7566666666667,4,90.98
"440",553.5,2449.5,774,-1700,44.65,65.8016666666667,4,-1.78
