,Geo_FIPS,Geo_QName,population_2020,population_2010,population_2000,population_1990,population_1980,pop_changes
116,5071,"Johnson County, Arkansas",26475,25180,22781,18221,17423,9052
117,5073,"Lafayette County, Arkansas",6728,7764,8559,9643,10213,-3485
118,5075,"Lawrence County, Arkansas",16511,17340,17774,17457,18447,-1936
119,5077,"Lee County, Arkansas",8963,10709,12580,13053,15539,-6576
120,5079,"Lincoln County, Arkansas",13278,14203,14492,13690,13369,-91
121,5081,"Little River County, Arkansas",12345,13145,13628,13966,13952,-1607
122,5083,"Logan County, Arkansas",21619,22580,22486,20557,20144,1475
123,5085,"Lonoke County, Arkansas",73163,65846,52828,39268,34518,38645
124,5087,"Madison County, Arkansas",16393,15507,14243,11618,11373,5020
125,5089,"Marion County, Arkansas",16586,16779,16140,12001,11334,5252
126,5091,"Miller County, Arkansas",43515,43048,40443,38467,37766,5749
127,5093,"Mississippi County, Arkansas",41396,46815,51979,57525,59517,-18121
128,5095,"Monroe County, Arkansas",6879,8492,10254,11333,14052,-7173
129,5097,"Montgomery County, Arkansas",8964,9490,9245,7841,7771,1193
130,5099,"Nevada County, Arkansas",8249,9149,9955,10101,11097,-2848
131,5101,"Newton County, Arkansas",7753,8394,8608,7666,7756,-3
132,5103,"Ouachita County, Arkansas",23597,26293,28790,30574,30541,-6944
133,5105,"Perry County, Arkansas",10342,10435,10209,7969,7266,3076
134,5107,"Phillips County, Arkansas",18151,22412,26445,28838,34772,-16621
135,5109,"Pike County, Arkansas",10714,11286,11303,10086,10373,341
136,5111,"Poinsett County, Arkansas",23747,24703,25614,24664,27032,-3285
137,5113,"Polk County, Arkansas",19999,20490,20229,17347,17007,2992
138,5115,"Pope County, Arkansas",63926,60460,54469,45883,39021,24905
139,5117,"Prairie County, Arkansas",8138,8839,9539,9518,10140,-2002
140,5119,"Pulaski County, Arkansas",393078,377060,361474,349660,340613,52465
141,5121,"Randolph County, Arkansas",17934,18049,18195,16558,16834,1100
142,5123,"St. Francis County, Arkansas",25477,28302,29329,28497,30858,-5381
143,5125,"Saline County, Arkansas",120990,102439,83529,64183,53161,67829
144,5127,"Scott County, Arkansas",10269,11226,10996,10205,9685,584
145,5129,"Searcy County, Arkansas",7898,8227,8261,7841,8847,-949
146,5131,"Sebastian County, Arkansas",127670,123847,115071,99590,95172,32498
147,5133,"Sevier County, Arkansas",16947,16636,15757,13637,14060,2887
148,5135,"Sharp County, Arkansas",17217,17432,17119,14109,14607,2610
149,5137,"Stone County, Arkansas",12582,12321,11499,9775,9022,3560
150,5139,"Union County, Arkansas",39089,42180,45629,46719,48573,-9484
151,5141,"Van Buren County, Arkansas",16578,17237,16192,14008,13357,3221
152,5143,"Washington County, Arkansas",236198,197192,157715,113409,100494,135704
153,5145,"White County, Arkansas",78725,74957,67165,54676,50835,27890
154,5147,"Woodruff County, Arkansas",6477,7505,8741,9520,11222,-4745
155,5149,"Yell County, Arkansas",21425,21895,21139,17759,17026,4399
156,6001,"Alameda County, California",1661584,1477980,1443741,1279182,1105379,556205
157,6003,"Alpine County, California",1159,1176,1208,1113,1097,62
158,6005,"Amador County, California",39023,38327,35100,30039,19314,19709
159,6007,"Butte County, California",223344,218635,203171,182120,143851,79493
160,6009,"Calaveras County, California",45828,45994,40554,31998,20710,25118
161,6011,"Colusa County, California",21491,21165,18804,16275,12791,8700
162,6013,"Contra Costa County, California",1147788,1024809,948816,803732,656380,491408
163,6015,"Del Norte County, California",27692,28471,27507,23460,18217,9475
164,6017,"El Dorado County, California",190345,179053,156299,125995,85812,104533
165,6019,"Fresno County, California",990204,908830,799407,667490,514621,475583
166,6021,"Glenn County, California",28060,27935,26453,24798,21350,6710
167,6023,"Humboldt County, California",136101,133058,126518,119118,108514,27587
168,6025,"Imperial County, California",180580,168052,142361,109303,92110,88470
